SampleID,label,Influenza,BioProject,HostGroup,HostType,Season,Age,Sex,Feeding,Species,Location,month,Sphingobacterium__4966214a,Pedobacter__e5eb02f3,Sphingobacteriaceae__736f2237,Parabacteroides__ef4b9171,Bacteroides__a13d2ac8,Prevotellaceae_Ga6A1_group__408c8c2d,Prevotellaceae__282df84e,Incertae_Sedis__32018bce,Prevotella__8ef7520d,Porphyromonas__c465f577,Bacteroidales__8e7f285d,H1__5c1b884f,Flavobacterium__63d393fc,Atopobium__81d6cbdb,Arcanobacterium__4c9ad755,Micrococcales__9eb9acee,Rothia__da821e0a,Lawsonella__30d3ed51,Varibaculum__84b87a55,Schaalia__ed995199,Stenotrophomonas__a6eadb2d,Escherichia-Shigella__6e37ae39,Pasteurellaceae__5a64a6f1,Psittacicella__f8bb29a5,Comamonadaceae__c51976b3,Moraxella__00b629e3,Pseudomonas__13b2a473,Halomonas__7333e261,unclassified__0c9e3ed5,Fusibacter__adc4c72e,Desulfovibrio__5d53bfb2,Brevundimonas__da6b37f3,Methylobacterium__1458f1e7,Clostridium__98fcf594,Bacillota__9ccfad18,Mageeibacillus__816bc635,Colidextribacter__d74cd658,UCG-005__4ce32c4e,Oscillospiraceae__ca53da73,Faecalibacterium__a50e8f12,Incertae_Sedis__efb1124a,Ruminococcaceae__0775e59c,Caecibacterium__9265d514,Campylobacter__af35970d,Helicobacter__acc07901,Lachnospiraceae_UCG-010__5bd5c394,Lachnospiraceae__cafeeea8,Incertae_Sedis__03d08b31,Peptoniphilus__172051db,Parvimonas__e9165b84,Peptococcus__e616d0c9,Candidatus_Arthromitus__04c4a458,Streptococcus__bf0a5e99,Gemella__da6858e2,Staphylococcus__463b2f04,Catellicoccus__f52c8cce,Lactobacillales__8ad1796f,Mycoplasmataceae__8e450566,Thomasclavelia__c4abcba6,Incertae_Sedis__b81519f9,Megamonas__97771191,Veillonellaceae__e56b0756,Veillonellales-Selenomonadales__eb04e82f,Veillonella__6718eb07,Phascolarctobacterium__1683506d,Fusobacterium__0daf4b3d,Incertae_Sedis__c3a9c557,Oceanivirga__5702680e,Leptotrichiaceae__d27439ff,Cetobacterium__024cc2ba
SRR7146574,1,Pos,PRJNA464410,Duck,Duck,S,A,M,dabbling,Anasplatyrhynchos,"MandevilleIsland,SanJoaquinCounty",8.0,-0.11846883898895477,-2.315693416325175,-0.11846883898895477,-2.315693416325175,1.8889992030657918,-2.315693416325175,-2.315693416325175,-2.315693416325175,-0.11846883898895477,2.860456316248655,0.9031824085430262,-2.315693416325175,3.5620423654544644,4.233957325908635,0.8198007996039749,-2.315693416325175,-2.315693416325175,-2.315693416325175,0.2492559411363624,-2.315693416325175,-2.315693416325175,1.8274413100663578,-2.315693416325175,-2.315693416325175,0.2492559411363624,-2.315693416325175,1.6545984972269467,0.08220185647319589,0.08220185647319589,-2.315693416325175,1.180814145141306,0.9031824085430262,-2.315693416325175,0.7288290213982487,-2.315693416325175,0.3923567847770357,-2.315693416325175,-2.315693416325175,1.761844027580545,-2.315693416325175,-2.315693416325175,3.8133567937353705,1.6161322163991514,4.603001802695297,-2.315693416325175,1.9469864607161407,5.143069276055785,-2.315693416325175,0.8198007996039749,3.7077541766358584,1.051602413661299,0.8198007996039749,4.883984929365997,-2.315693416325175,0.3923567847770357,-2.315693416325175,5.157943692171031,-2.315693416325175,-2.315693416325175,1.5761268817854521,2.87169238951558,4.507592706030513,-2.315693416325175,-2.315693416325175,-2.315693416325175,1.051602413661299,2.574655711896579,0.2492559411363624,1.9747660248232162,-2.315693416325175
SRR7146575,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,-2.085853362148365,-2.085853362148365,-2.085853362148365,3.10153244369239,5.37406140409274,5.209203054314266,3.176836826756521,-2.085853362148365,-2.085853362148365,-2.085853362148365,3.0078968386583975,-2.085853362148365,3.1452552547062216,-2.085853362148365,-2.085853362148365,1.8459722705759605,-2.085853362148365,-2.085853362148365,-2.085853362148365,-2.085853362148365,-2.085853362148365,-2.085853362148365,-2.085853362148365,0.7473599819078514,-2.085853362148365,-2.085853362148365,0.11137121518785431,-2.085853362148365,-2.085853362148365,-2.085853362148365,2.641534456563976,0.8585856170180755,-2.085853362148365,-2.085853362148365,2.3329872456482326,-2.085853362148365,3.256480889816446,2.088533907747272,4.342251910536231,3.5874699050231276,2.509266487986225,4.780037712735073,-2.085853362148365,4.342251910536231,1.991684081757355,4.358277894552076,4.788345133304929,0.6221968389538448,-2.085853362148365,2.586975472313541,1.5777082839812815,-2.085853362148365,1.8844385514037567,-2.085853362148365,-2.085853362148365,-2.085853362148365,0.11137121518785431,-2.085853362148365,4.177544900443259,-2.085853362148365,-2.085853362148365,-2.085853362148365,-2.085853362148365,-2.085853362148365,2.5681069880091583,-2.085853362148365,-2.085853362148365,-2.085853362148365,2.3085957925240734,-2.085853362148365
SRR7146576,0,Neg,PRJNA464410,Duck,Duck,FW,A,M,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,0.8618432719642888,0.014545411577085332,-1.0840668770910238,-1.0840668770910238,2.993470566814695,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,3.090320392804613,1.7491464669651924,-1.0840668770910238,2.5268510355532,-1.0840668770910238,-1.0840668770910238,1.1131577002451953,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,4.103318928749731,-1.0840668770910238,-1.0840668770910238,1.1131577002451953,1.1131577002451953,-1.0840668770910238,4.114430154174801,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,0.014545411577085332,1.7491464669651924,0.8618432719642888,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,0.014545411577085332,-1.0840668770910238,2.722595612679296,8.030753293027747,-1.0840668770910238,-1.0840668770910238,2.9232663081414465,-1.0840668770910238,1.1131577002451953,0.5253710353430758,0.5253710353430758,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,-1.0840668770910238,2.412440684375456,-1.0840668770910238,-1.0840668770910238,0.5253710353430758,-1.0840668770910238,-1.0840668770910238,4.04583183783205,0.5253710353430758
SRR7146577,0,Neg,PRJNA464410,Duck,Duck,FW,H,F,filter,Anasclypeata,"SacramentoNationalWildlifeRefuge,GlennCounty",1.0,1.956403733129667,-0.6085456243318692,1.58867895300435,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,4.578840181508886,-0.6085456243318692,-0.6085456243318692,1.3373645247234434,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,1.7893496484665006,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,1.7893496484665006,1.3373645247234434,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,2.335893354834571,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,4.136386504031381,8.557320257542484,-0.6085456243318692,-0.6085456243318692,2.5269485915972805,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,3.3617462892202523,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692,-0.6085456243318692
SRR7146578,1,Pos,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"SuisunMarsh/Sunrise,SolanoCounty",7.0,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,5.257517376528686,5.435673049623203,-0.8315274989181596,3.373165120472806,-0.8315274989181596,-0.8315274989181596,3.2793463652551518,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,3.138764414633962,7.119679657554811,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,1.3656970784180595,-0.8315274989181596,-0.8315274989181596,1.114382650137153,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,7.7146418007345945,5.864271418140332,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,1.7334218585433767,-0.8315274989181596,-0.8315274989181596,2.8320341472114867,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596,-0.8315274989181596
SRR7146580,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,1.2732189985461506,0.385915803545247,5.003861181022062,-1.5599943455100655,-1.5599943455100655,0.8379009272883042,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,1.5754998704190841,-1.5599943455100655,1.484528092213357,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,0.049443566924034066,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,5.045303575438136,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,-1.5599943455100655,1.7358425204942636,1.5754998704190841,6.359725415414509,-1.5599943455100655,-1.5599943455100655,4.942795700405558,-1.5599943455100655,0.6372302318261536,2.1035673006195807,-1.5599943455100655,-1.5599943455100655,4.366931680460345,2.1535777211942415,1.5754998704190841,-1.5599943455100655,6.272416581677854,-1.5599943455100655,-1.5599943455100655,1.2732189985461506,-1.5599943455100655,4.676375244693638,-1.5599943455100655,5.416353724937682,-1.5599943455100655,2.3718312872142597,1.9953537159793475,3.4167393969105087,3.671114271344521,-1.5599943455100655
SRR7146581,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,3.6680816113876125,3.1452076491054477,-1.449912201029142,-1.449912201029142,2.161005711615082,-1.449912201029142,-1.449912201029142,2.441908097081484,2.893893220824541,-1.449912201029142,2.944536953643296,-1.449912201029142,-1.449912201029142,-1.449912201029142,1.6855820149000076,7.3380711951686575,-1.449912201029142,-1.449912201029142,0.4959979480261705,-1.449912201029142,1.845924664975187,-1.449912201029142,-1.449912201029142,0.15952571140495753,-1.449912201029142,-1.449912201029142,-0.351299912361033,1.5946102366942805,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,-1.449912201029142,2.161005711615082,5.312817305902737,-1.449912201029142,-1.449912201029142,3.567367635785782,-1.449912201029142,-1.449912201029142,-1.449912201029142,0.4959979480261705,-1.449912201029142,4.181299580792223,-1.449912201029142,-1.449912201029142,-1.449912201029142,2.213649445100504,2.105435860460271,-1.449912201029142,1.9173836289573316,-1.449912201029142,-1.449912201029142,5.482535690543366,4.099163883866078,-1.449912201029142,0.15952571140495753,-1.449912201029142,-1.449912201029142,3.526821541391432,-1.449912201029142
SRR7146582,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-0.11366803351447707,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,1.4957698789196234,-1.2122803221825862,-1.2122803221825862,0.3971575902515134,-1.2122803221825862,0.3971575902515134,-1.2122803221825862,1.732158656983854,-1.2122803221825862,0.3971575902515134,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,2.1550155078038875,6.240702007282874,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,0.3971575902515134,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,0.3971575902515134,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,3.2303709343077296,7.375744049994243,-0.11366803351447707,-1.2122803221825862,4.28897788836214,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,-1.2122803221825862,2.9621069477130506,1.35266903527895,-0.11366803351447707,-1.2122803221825862,-1.2122803221825862,0.9849442551536329,-1.2122803221825862,1.732158656983854,-1.2122803221825862,4.070923406555401,4.533922868357567,3.9057134902341684,-1.2122803221825862,1.8322421155408364,-1.2122803221825862,-1.2122803221825862,6.2266912702132755,-1.2122803221825862
SRR7146583,0,Neg,PRJNA464410,Duck,Duck,S,H,F,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,0.2026834461762146,-1.9945411311600045,2.424299476636593,-1.9945411311600045,0.7135090699422051,-1.9945411311600045,-1.9945411311600045,0.9498978480064357,3.5927075272402447,2.9821926112605697,-1.9945411311600045,-1.9945411311600045,5.554541579652281,-1.9945411311600045,-1.9945411311600045,1.049981306563418,4.711097963699999,1.4394460733251417,-1.9945411311600045,2.0127920540724666,3.412630640300114,-1.9945411311600045,3.783111192062652,-0.04863098210469108,-0.04863098210469108,-1.9945411311600045,2.6401878570696313,3.6294763750273336,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,3.430408886321398,2.3999080235124337,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,3.214945021681416,-1.9945411311600045,-1.9945411311600045,1.3012957348443246,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,4.645334702666531,1.6690205149696418,2.8176432242124125,0.5704082263015318,2.116332733013307,2.424299476636593,-1.9945411311600045,-0.38510321872590403,-1.9945411311600045,3.3381776621053643,-1.9945411311600045,6.259467459404839,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,-1.9945411311600045,1.6163767814842194,1.3727546988264692
SRR7146584,0,Neg,PRJNA464410,Duck,Duck,S,H,M,dabbling,Anasplatyrhynchos,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",7.0,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,-1.1143853371756753,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,1.8300536419907658,4.9470715817523425,0.3519517316177527,-2.2129976258437845,1.7188280068805417,-2.2129976258437845,-1.1143853371756753,-0.267087476788471,1.3979202868004403,-2.2129976258437845,-2.2129976258437845,-1.1143853371756753,-0.603559713409684,-0.015773048507565335,-2.2129976258437845,4.015513377747399,-2.2129976258437845,-0.603559713409684,-2.2129976258437845,-0.267087476788471,2.229653630646532,0.49505257525842605,-2.2129976258437845,-0.603559713409684,-2.2129976258437845,2.1308077960098997,-2.2129976258437845,-0.267087476788471,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,-0.603559713409684,4.4294891755234715,5.456964369629793,-2.2129976258437845,-2.2129976258437845,4.492641469016219,-2.2129976258437845,-2.2129976258437845,-2.2129976258437845,-1.1143853371756753,2.459831208618122,3.703204436763651,-0.015773048507565335,1.757294287708337,2.855906576376447,1.7188280068805417,-1.1143853371756753,-2.2129976258437845,2.4217313623858514,0.7314413533226558,3.9460977626481486,3.686899727738707,3.446484589915837,-2.2129976258437845,3.7958155595988106,-2.2129976258437845,3.4037734718227872,4.9423986760529495,2.843248179504524
