Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center.Name,Consent,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,Experiment,Instrument,Library.Name,LibraryLayout,LibrarySource,Organism,Platform,ReleaseDate,create_date,DPI,Influenza,SRA.Study,HostSpecies,Host.1,SampleID,HostGroup,HostType,SampleContext,Infection,Tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolation_source,lat_lon,DOI,Collection_Date,HOST,Sample.Name,sample_type,genotype,isolate,strain,.tar_Folder,Body_System,broad.scale_environmental_context,Cultivar,dna_extracted_by,dna_extraction_date,dna_extraction_kit,environmental_medium,experimental_group,True_or_Neg,Expt_.,geographical_location,isolation_and_growth_condition,latitude_and_longitude,local_scale_environmental_context,organism..run.,Sampling.time.point.Days.Post.Infection.,Age_at_infection,Bird_ID,Bird_weight.g.,Bursa.BodyWeight.Ratio1000,Bursa_Weight_g,Date_of_Hatch,Date_of_Infection,Infecting_Agent,Isolator_.,sex,Log10_Virus_titer_.EID50_.mL_or_.g_tissue.,Log2_Fold_Change_in_Expression_of_IFN.a,Log2_Fold_Change_in_Expression_of_IFN.b,Log2_Fold_Change_in_Expression_of_IFN.L,Log2_Fold_Change_in_Expression_of_IFN.y,Log2_Fold_Change_in_Expression_of_IL.6,Log2_Fold_Change_in_Expression_of_LITAF,Log2_Fold_Change_in_Expression_of_Mx,Log2_Fold_Change_in_Expression_of_OAS,Infection_Status,samp_size,source_material_id,Path,collection_date,host,misc_param,Nickname,HASubType,Season,Age,NASubType,HASubType_NASubType,Genus,Species,Location,Season_SeasonYear,Feeding,Sex,Description,CoreGroup
AMPLICON,250,15787500,PRJNA464410,SAMN09104012,Metagenome or environmental,10010049,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066148,Illumina MiSeq,UCD.08.6517,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Pos,SRP145364,Duck,Mallard,SRR7146803,Duck,Duck,Wild,Pos,NA,USA,North America,"USA:California\,YoloCounty\,ConawayRanch",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/5/2008,Anas,"CommonName:Mallard,TestforInfluenzaVirus:M.RTPCR.VI,IDforMatching:UCD08.6517.V",Apla_H11N9_CR_Nov2008_1,11,FW,U,9,11_9,Anas,Anasplatyrhynchos,"ConawayRanch,YoloCounty",FW_0809,dabbling,M,Pos_FW_0809_Anasplatyrhynchos,Duck_Pos
AMPLICON,250,37275500,PRJNA464410,SAMN09104304,Metagenome or environmental,24563325,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066147,Illumina MiSeq,WHC.JN.US07.1719,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Neg,SRP145364,Duck,AmericanWigeon,SRR7146804,Duck,Duck,Wild,Neg,NA,USA,North America,"USA:California\,Sacramento\,GlennCounty\,NationalWildlifeRefuge",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/13/2008,Anas,"CommonName:AmericanWigeon,TestforInfluenzaVirus:VI,IDforMatching:WHC.JN.US07.1719",Aame_neg_SNWR_Jan2008_7,neg,FW,H,neg,neg_neg,Anas,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",FW_0708,dabbling,F,Neg_FW_0708_Anasamericana,Duck_Neg
AMPLICON,250,6973000,PRJNA464410,SAMN09104006,Metagenome or environmental,4178289,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066145,Illumina MiSeq,UCD.08.6420,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Pos,SRP145364,Duck,Mallard,SRR7146806,Duck,Duck,Wild,Pos,NA,USA,North America,"USA:California\,YoloCounty\,ConawayRanch",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/1/2008,Anas,"CommonName:Mallard,TestforInfluenzaVirus:M.RTPCR.VI,IDforMatching:UCD08.6420.V",Apla_H6N2_CR_Nov2008_1,6,FW,U,2,6_2,Anas,Anasplatyrhynchos,"ConawayRanch,YoloCounty",FW_0809,dabbling,F,Pos_FW_0809_Anasplatyrhynchos,Duck_Pos
AMPLICON,250,7641500,PRJNA464410,SAMN09104005,Metagenome or environmental,4969683,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066144,Illumina MiSeq,UCD.08.6404,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Pos,SRP145364,Duck,Mallard,SRR7146807,Duck,Duck,Wild,Pos,NA,USA,North America,"USA:California\,YoloCounty\,ConawayRanch",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/1/2008,Anas,"CommonName:Mallard,TestforInfluenzaVirus:M.RTPCR.VI,IDforMatching:UCD08.6404.V",Apla_H6N1_CR_Nov2008_1,6,FW,U,1,6_1,Anas,Anasplatyrhynchos,"ConawayRanch,YoloCounty",FW_0809,dabbling,M,Pos_FW_0809_Anasplatyrhynchos,Duck_Pos
AMPLICON,250,24670000,PRJNA464410,SAMN09104011,Metagenome or environmental,14116514,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066142,Illumina MiSeq,UCD.08.6495,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Pos,SRP145364,Duck,NorthernPintail,SRR7146809,Duck,Duck,Wild,Pos,NA,USA,North America,"USA:California\,YoloCounty\,ConawayRanch",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/2008,Anas,"CommonName:NorthernPintailTestforInfluenzaVirus:M.RTPCR.VI,IDforMatching:UCD08.6495.V",Aacu_H6N1_CR_Nov2008_1,6,FW,U,1,6_1,Anas,Anasacuta,"ConawayRanch,YoloCounty",FW_0809,dabbling,M,Pos_FW_0809_Anasacuta,Duck_Pos
AMPLICON,250,13498000,PRJNA464410,SAMN09104010,Metagenome or environmental,8849528,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066141,Illumina MiSeq,UCD.08.6490,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Pos,SRP145364,Duck,Mallard,SRR7146810,Duck,Duck,Wild,Pos,NA,USA,North America,"USA:California\,YoloCounty\,ConawayRanch",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/2008,Anas,"CommonName:Mallard,TestforInfluenzaVirus:M.RTPCR.VI,IDforMatching:UCD08.6490.V",Apla_H12N5_CR_Nov2008_1,12,FW,U,5,12_5,Anas,Anasplatyrhynchos,"ConawayRanch,YoloCounty",FW_0809,dabbling,M,Pos_FW_0809_Anasplatyrhynchos,Duck_Pos
AMPLICON,250,12889500,PRJNA464410,SAMN09104009,Metagenome or environmental,8285439,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066140,Illumina MiSeq,UCD.08.6471,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Pos,SRP145364,Duck,Mallard,SRR7146811,Duck,Duck,Wild,Pos,NA,USA,North America,"USA:California\,YoloCounty\,ConawayRanch",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/2008,Anas,"CommonName:Mallard,TestforInfluenzaVirus:M.RTPCR.VI,IDforMatching:UCD08.6471.V",Apla_H3N8_CR_Nov2008_1,3,FW,U,8,3_8,Anas,Anasplatyrhynchos,"ConawayRanch,YoloCounty",FW_0809,dabbling,M,Pos_FW_0809_Anasplatyrhynchos,Duck_Pos
AMPLICON,250,6832500,PRJNA464410,SAMN09104308,Metagenome or environmental,4449368,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066137,Illumina MiSeq,WHC.JN.US07.1763,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Neg,SRP145364,Duck,AmericanWigeon,SRR7146814,Duck,Duck,Wild,Neg,NA,USA,North America,"USA:California\,Sacramento\,GlennCounty\,NationalWildlifeRefuge",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/16/2008,Anas,"CommonName:AmericanWigeon,TestforInfluenzaVirus:VI,IDforMatching:WHC.JN.US07.1763",Aame_neg_SNWR_Jan2008_0,neg,FW,A,neg,neg_neg,Anas,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",FW_0708,dabbling,F,Neg_FW_0708_Anasamericana,Duck_Neg
AMPLICON,250,11582500,PRJNA464410,SAMN09104307,Metagenome or environmental,7620371,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066136,Illumina MiSeq,WHC.JN.US07.1758,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Neg,SRP145364,Duck,AmericanWigeon,SRR7146815,Duck,Duck,Wild,Neg,NA,USA,North America,"USA:California\,Sacramento\,GlennCounty\,NationalWildlifeRefuge",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/16/2008,Anas,"CommonName:AmericanWigeon,TestforInfluenzaVirus:VI,IDforMatching:WHC.JN.US07.1758",Aame_neg_SNWR_Jan2008_9,neg,FW,A,neg,neg_neg,Anas,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",FW_0708,dabbling,M,Neg_FW_0708_Anasamericana,Duck_Neg
AMPLICON,250,11685000,PRJNA464410,SAMN09104306,Metagenome or environmental,7340181,UC DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4066135,Illumina MiSeq,WHC.JN.US07.1749,PAIRED,METAGENOMIC,gut metagenome,ILLUMINA,5/9/2018 20:00,5/10/2018 12:57,NA,Neg,SRP145364,Duck,AmericanWigeon,SRR7146816,Duck,Duck,Wild,Neg,NA,USA,North America,"USA:California\,Sacramento\,GlennCounty\,NationalWildlifeRefuge",cloacal swab,missing,10.1128/mSphere.00382-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/13/2008,Anas,"CommonName:AmericanWigeon,TestforInfluenzaVirus:VI,IDforMatching:WHC.JN.US07.1749",Aame_neg_SNWR_Jan2008_8,neg,FW,A,neg,neg_neg,Anas,Anasamericana,"SacramentoNationalWildlifeRefuge,GlennCounty",FW_0708,dabbling,M,Neg_FW_0708_Anasamericana,Duck_Neg
