model,held_out_site,n_test,pos_rate_test,AUC,PR_AUC,MCC
SVM-RBF,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",96,0.6770833333333334,0.6253101736972705,0.7568162411014029,0.14158438057318098
SVM-RBF,"SacramentoNationalWildlifeRefuge,GlennCounty",80,0.4375,0.16825396825396824,0.29292431316958484,-0.3063963871403497
SVM-RBF,"ConawayRanch,YoloCounty",43,0.5813953488372093,0.5366666666666667,0.6791229356977908,-0.027602622373694166
