tag,n,pos_rate,AUC,baseline_acc,acc@0.5,sens@0.5,spec@0.5,mcc@0.5,best_thr,acc@best,sens@best,spec@best
全部样本(未分层),260,0.5807692307692308,0.832654474755453,0.5807692307692308,0.7723076923076924,0.8225165562913908,0.7027522935779816,0.5295746902733911,0.5187686427175086,0.7746153846153846,0.8,0.7394495412844037
7 月,86,0.6046511627906976,0.964683257918552,0.6046511627906976,0.9488372093023256,0.9615384615384616,0.9294117647058824,0.8928105029012801,0.6468041682737566,0.9488372093023256,0.9423076923076923,0.9588235294117647
8 月,37,0.6756756756756757,0.9096000000000001,0.6756756756756757,0.8378378378378378,0.92,0.6666666666666666,0.6184009646551498,0.7495834927139698,0.8810810810810811,0.848,0.95
10 月,42,0.5714285714285714,0.7341666666666667,0.5714285714285714,0.6761904761904762,0.7833333333333333,0.5333333333333333,0.32804159455524323,0.57642034378273,0.7380952380952381,0.675,0.8222222222222222
7+8 月,123,0.6260162601626016,0.9587012987012988,0.6260162601626016,0.9300813008130081,0.9506493506493506,0.8956521739130435,0.8501505564716241,0.680549899257816,0.943089430894309,0.9324675324675324,0.9608695652173913
7+8+10 月,165,0.6121212121212121,0.9280878712871288,0.6121212121212121,0.8690909090909091,0.8930693069306931,0.83125,0.724319306930693,0.5507986671223325,0.8787878787878788,0.8752475247524752,0.884375
