FeatureID,importance_mean,importance_sd,frac_folds_positive,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,cage_F,cage_p,cage_FDR,Genus,Family,cage_confounded
GQ175458.1.1439,0.013333333333333324,0.02682019576043424,0.4,5.8676424132752905,6.199380664269925e-07,3.8436160118473536e-05,-0.2764427736765326,-2.3183285163201557,Pos↑,9.23841740404217,0.00020691986136047358,0.0032072578510873406,Negativibacillus,Ruminococcaceae,True
KX881777.1.1230,0.012998236331569657,0.02682942594279825,0.5333333333333333,-3.8922863884751884,0.0011375046886120158,0.005715946436474553,-1.1489659055853088,1.5517352619770823,Pos↓,2.095107174637756,0.12343660987892503,0.20139657401298294,HT002,Lactobacillaceae,False
MF326581.1.1216,0.012857142857142862,0.0381725406168211,0.13333333333333333,4.317412292924734,9.193726993493695e-05,0.0009500184559943486,-1.3971087640211606,-2.40283715391001,Pos↑,0.2741280935820013,0.843534613587937,0.8864262041093576,Pediococcus,Lactobacillaceae,False
EU767235.1.1359,0.010652557319223982,0.029124964354915028,0.3333333333333333,-2.2858113691735866,0.03773563397923016,0.09748372111301125,-1.8176359326640352,-0.8790703516346036,Pos↓,5.983801615561437,0.0027662805124616073,0.017480117553703028,UCG-009,Butyricicoccaceae,True
GQ461821.1.1415,0.007901234567901228,0.03159722128009161,0.06666666666666667,4.821218285265997,1.8143279260936186e-05,0.0003749611047260145,-1.2215291609877907,-2.40283715391001,Pos↑,5.013402277505202,0.006597932307994032,0.034089316924635835,Tissierella,Family_XI,True
KY658480.1.1210,0.006437389770723103,0.018946100884650152,0.4,-4.147604996286236,0.00021401194287759562,0.001658592557301366,-0.02469300777005856,3.0577392300886763,Pos↓,3.059736431486071,0.044474405511002006,0.1021264126548935,,Lactobacillaceae,False
DQ456472.1.1372,0.0052204585537918855,0.015260206702206658,0.2,-3.514136437850848,0.0015483148518946155,0.006856822915533298,-0.023383955619835334,2.4804789513299417,Pos↓,12.830828073408457,1.8610807050036212e-05,0.0006918053453674178,Faecalibacterium,Ruminococcaceae,True
EU763235.1.1354,0.0036155202821869497,0.009714275467840637,0.2,0.726672809254993,0.47282659126666976,0.5863049731706705,0.9392561590185484,0.6775139716494815,Pos↑,2.526194605297014,0.07776767645981718,0.1418116453090784,Flavonifractor,Oscillospiraceae,False
EU460584.1.1224,0.003315696649029987,0.010195254495660245,0.13333333333333333,-0.8421448499020423,0.41235603463682846,0.5431491477101991,-1.4125253454178734,-0.9134627832111517,Pos↓,1.2439811394188398,0.3125134371209978,0.3954251653367727,Turicibacter,Erysipelotrichaceae,False
869039e5ec5a8e2a7725853c1a499e6e,0.0029982363315696698,0.013326146080383376,0.06666666666666667,3.2008225563727466,0.00271274589741531,0.010511890352484326,-1.575808178836078,-2.2338198787303005,Pos↑,9.991209167222964,0.00012066587753363042,0.0024937614690283623,Incertae_Sedis,Incertae_Sedis,True
EU530381.1.1295,0.0026807760141093514,0.012150843537458857,0.06666666666666667,0.9103665306038086,0.3731464168997817,0.5431491477101991,-1.6094130359143224,-1.9355028438262651,Pos↑,3.9850884099090043,0.017528989728755315,0.05719986122014892,[Ruminococcus]_gnavus_group,Lachnospiraceae,False
DQ793581.1.1384,0.002222222222222222,0.01097030118099905,0.2,-2.5989942235246764,0.01530097859662532,0.04992950910477736,-0.07814858634811195,1.1329043033714825,Pos↓,3.5611954108729655,0.02668826504353043,0.07194227968256028,Incertae_Sedis,Incertae_Sedis,False
MH924252.1.1200,0.002010582010582008,0.032683655054590824,0.3333333333333333,-3.5609676617124357,0.0020973400894508955,0.008669005703063703,-0.17067434195778636,2.75626556556096,Pos↓,0.3576213356634736,0.7840096802374223,0.8380793133572445,Weissella,Lactobacillaceae,False
fbb2ccdf9eee6835b98ab9fad97f117a,0.0018871252204585576,0.015504802284996634,0.2,0.8194766784646854,0.42050256596918634,0.5431491477101991,1.1938290809484113,0.9008476942939055,Pos↑,0.7265066345138043,0.5447541664762647,0.6254584874357113,Incertae_Sedis,Incertae_Sedis,False
cf42d6ef5b5f01ff0a0a2bf5b533682e,0.0017460317460317484,0.012424965859188475,0.13333333333333333,-1.7092244955250153,0.09995763524459252,0.20233968316115714,0.3731110848860343,1.210771234077182,Pos↓,3.5873290478467634,0.025997659798641087,0.07194227968256028,,Bacillaceae,False
f13a69ad40cf466ff5bfb0c0609aafc6,0.0016754850088183467,0.010254029530190915,0.06666666666666667,0.42820643867791364,0.6727476903927767,0.7317606456903888,0.8254195288363887,0.6571024078955354,Pos↑,5.961980872622553,0.002819373798984359,0.017480117553703028,CHKCI002,Eggerthellaceae,True
