stratum,n,n_pos,ExtraTrees,SVM_RBF,delta
7月,86,52,0.9880952380952381,0.9747705627705627,0.013324675324675406
10月,42,24,0.8269999999999998,0.8188333333333334,0.008166666666666433
Jul+Aug,123,77,0.9698648148148149,0.9614222222222223,0.008442592592592613
Jan+Oct,92,29,0.7147094017094018,0.7744444444444444,-0.0597350427350426
