FeatureID,t,p,FDR,Family,Genus
6718eb07f4a1ded94863a63d5e19474e,-14.447056275171619,5.645355366405476e-31,3.669480988163559e-29,Veillonellaceae,Veillonella
da821e0a5e2bb6359d37fc6ddafd82c1,-12.554018845720197,1.1422021944454428e-22,3.712157131947689e-21,Micrococcaceae,Rothia
8e450566af04da60335f56e9098b4eec,-9.958715103706991,4.528730836732684e-16,9.81225014625415e-15,Mycoplasmataceae,
8ef7520d749a002ff44b11ee16c27f1b,-9.10343968327011,5.305900310324718e-15,8.622088004277666e-14,Prevotellaceae,Prevotella
bf0a5e99cb2470e070686ca4a5cd102d,-8.3775250299167,3.396114591632975e-14,4.414948969122867e-13,Streptococcaceae,Streptococcus
5a64a6f1f4e7afd3bbbf171c5c35b46f,-6.821712153770941,2.7859133257426733e-10,3.018072769554563e-09,Pasteurellaceae,
da6858e27b2e7bb754853591e2b46704,-5.376451136186983,3.2262908202901027e-07,2.995841475983667e-06,Gemellaceae,Gemella
9eb9acee9f8012d509191f395cd33680,5.1272356987737275,8.301216187943626e-07,6.744738152704196e-06,,
816bc6359bb36d4bd2ac7c129451f617,4.972266576174992,1.7506255452873585e-06,1.2643406715964256e-05,Oscillospiraceae,Mageeibacillus
5c1b884fe5810b2c1045bf75572ef12f,4.8430854131156895,3.1593509285862697e-06,1.9193839234512133e-05,Paludibacteraceae,H1
0c9e3ed50197a5f104e61cd0520fbb29,4.828691175650425,3.2481881781482072e-06,1.9193839234512133e-05,,
8ad1796f811039f7bae012f206c4d408,-4.668377498883538,6.7391874233366156e-06,3.650393187640667e-05,,
b81519f9ff85d250b3ff11b93ec54bc8,4.597447869709408,9.428405915369597e-06,4.714202957684799e-05,Incertae_Sedis,Incertae_Sedis
e616d0c9166d972025919a91afbfac62,4.400024772926248,1.9787474685380825e-05,9.187041818212527e-05,Peptococcaceae,Peptococcus
