feature,importance_mean,importance_sd,frac_folds_positive,Genus,Family,Phylum
Desulfovibrio__5d53bfb2,-0.0013299632267374153,0.003617371863887931,0.44,Desulfovibrio,Desulfovibrionaceae,Thermodesulfobacteriota
Brevundimonas__da6b37f3,-0.0013929898058930273,0.004955066897697181,0.4,Brevundimonas,Caulobacteraceae,Pseudomonadota
Porphyromonas__c465f577,-0.001591407159149091,0.008376099070344914,0.44,Porphyromonas,Porphyromonadaceae,Bacteroidota
Helicobacter__acc07901,-0.0016405343760182382,0.012501797512528032,0.6,Helicobacter,Helicobacteraceae,Campylobacterota
Incertae_Sedis__b81519f9,-0.0016490527393753162,0.004153280768018435,0.4,Incertae_Sedis,Incertae_Sedis,Bacillota
Sphingobacterium__4966214a,-0.0017795652376297493,0.004892075078511133,0.44,Sphingobacterium,Sphingobacteriaceae,Bacteroidota
Sphingobacteriaceae__736f2237,-0.0019399525205976746,0.0047397962799168684,0.32,,Sphingobacteriaceae,Bacteroidota
Bacteroidales__8e7f285d,-0.002595298608201827,0.0073132185849920876,0.44,,,Bacteroidota
Leptotrichiaceae__d27439ff,-0.0028040497137271263,0.006856774418225041,0.32,,Leptotrichiaceae,Fusobacteriota
Lachnospiraceae__cafeeea8,-0.0030824558953591124,0.007130021278077341,0.24,,Lachnospiraceae,Bacillota
Prevotellaceae__282df84e,-0.0043162221291253465,0.007355971288629088,0.36,,Prevotellaceae,Bacteroidota
