FeatureID,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,importance_mean,importance_sd,frac_folds_positive,freq_C0.2,freq_C1.0,freq_C10.0,l1_hit_all_C,selection_freq,cage_FDR,cage_confounded,Genus,Family,n_methods,three_method_hit
GQ175458.1.1439,5.8676424132752905,6.199380664269925e-07,3.8436160118473536e-05,-0.2764427736765326,-2.318328516320156,Pos↑,0.0133333333333333,0.0268201957604342,0.4,0.865,1.0,1.0,True,0.865,0.0032072578510873,True,Negativibacillus,Ruminococcaceae,3,True
KX881777.1.1230,-3.892286388475189,0.001137504688612,0.0057159464364745,-1.1489659055853088,1.5517352619770823,Pos↓,0.0129982363315696,0.0268294259427982,0.5333333333333333,0.935,0.99,0.995,True,0.935,0.2013965740129829,False,HT002,Lactobacillaceae,3,True
GQ461821.1.1415,4.821218285265997,1.8143279260936182e-05,0.000374961104726,-1.2215291609877907,-2.40283715391001,Pos↑,0.0079012345679012,0.0315972212800916,0.0666666666666666,0.885,0.99,0.99,True,0.885,0.0340893169246358,True,Tissierella,Family_XI,3,True
KT873246.1.1201,5.63787330724402,1.346394090938104e-05,0.000374961104726,5.781243425008589,3.134274768697056,Pos↑,0.0015167548500881,0.016571483380957,0.2666666666666666,1.0,1.0,1.0,True,1.0,0.7277480150440894,False,Escherichia-Shigella,Enterobacteriaceae,3,True
MF326581.1.1216,4.317412292924734,9.193726993493696e-05,0.0009500184559943,-1.3971087640211606,-2.40283715391001,Pos↑,0.0128571428571428,0.0381725406168211,0.1333333333333333,0.345,0.81,0.83,False,0.345,0.8864262041093576,False,Pediococcus,Lactobacillaceae,2,False
KY658480.1.1210,-4.147604996286236,0.0002140119428775,0.0016585925573013,-0.0246930077700585,3.0577392300886763,Pos↓,0.0064373897707231,0.0189461008846501,0.4,0.045,0.045,0.1,False,0.045,0.1021264126548935,False,,Lactobacillaceae,2,False
DQ456472.1.1372,-3.514136437850848,0.0015483148518946,0.0068568229155332,-0.0233839556198353,2.4804789513299417,Pos↓,0.0052204585537918,0.0152602067022066,0.2,0.15,0.315,0.405,False,0.15,0.0006918053453674,True,Faecalibacterium,Ruminococcaceae,2,False
869039e5ec5a8e2a7725853c1a499e6e,3.2008225563727466,0.0027127458974153,0.0105118903524843,-1.575808178836078,-2.2338198787303005,Pos↑,0.0029982363315696,0.0133261460803833,0.0666666666666666,0.0,0.005,0.01,False,0.0,0.0024937614690283,True,Incertae_Sedis,Incertae_Sedis,2,False
DQ793581.1.1384,-2.5989942235246764,0.0153009785966253,0.0499295091047773,-0.0781485863481119,1.1329043033714823,Pos↓,0.0022222222222222,0.010970301180999,0.2,0.0,0.08,0.17,False,0.0,0.0719422796825602,False,Incertae_Sedis,Incertae_Sedis,2,False
MH924252.1.1200,-3.560967661712436,0.0020973400894508,0.0086690057030637,-0.1706743419577863,2.75626556556096,Pos↓,0.002010582010582,0.0326836550545908,0.3333333333333333,0.67,0.92,0.95,False,0.67,0.8380793133572445,False,Weissella,Lactobacillaceae,2,False
KJ184999.1.1415,3.487011789020997,0.0011985048979704,0.0057159464364745,-1.5934497351716357,-2.318328516320156,Pos↑,3.5273368606701605e-05,0.0024682538107273,0.1333333333333333,0.0,0.005,0.005,False,0.0,0.1021264126548935,False,Pseudomonas,Pseudomonadaceae,2,False
EU767235.1.1359,-2.285811369173586,0.0377356339792301,0.0974837211130112,-1.8176359326640352,-0.8790703516346036,Pos↓,0.0106525573192239,0.029124964354915,0.3333333333333333,0.305,0.905,0.945,False,0.305,0.017480117553703,True,UCG-009,Butyricicoccaceae,1,False
EU763235.1.1354,0.726672809254993,0.4728265912666697,0.5863049731706705,0.9392561590185484,0.6775139716494815,Pos↑,0.0036155202821869,0.0097142754678406,0.2,0.0,0.03,0.14,False,0.0,0.1418116453090784,False,Flavonifractor,Oscillospiraceae,1,False
EU460584.1.1224,-0.8421448499020423,0.4123560346368284,0.5431491477101991,-1.4125253454178734,-0.9134627832111516,Pos↓,0.0033156966490299,0.0101952544956602,0.1333333333333333,0.04,0.66,0.825,False,0.04,0.3954251653367727,False,Turicibacter,Erysipelotrichaceae,1,False
EU530381.1.1295,0.9103665306038086,0.3731464168997817,0.5431491477101991,-1.6094130359143224,-1.9355028438262647,Pos↑,0.0026807760141093,0.0121508435374588,0.0666666666666666,0.0,0.02,0.035,False,0.0,0.0571998612201489,False,[Ruminococcus]_gnavus_group,Lachnospiraceae,1,False
fbb2ccdf9eee6835b98ab9fad97f117a,0.8194766784646854,0.4205025659691863,0.5431491477101991,1.1938290809484111,0.9008476942939057,Pos↑,0.0018871252204585,0.0155048022849966,0.2,0.0,0.085,0.15,False,0.0,0.6254584874357113,False,Incertae_Sedis,Incertae_Sedis,1,False
cf42d6ef5b5f01ff0a0a2bf5b533682e,-1.709224495525015,0.0999576352445925,0.2023396831611571,0.3731110848860343,1.210771234077182,Pos↓,0.0017460317460317,0.0124249658591884,0.1333333333333333,0.0,0.02,0.06,False,0.0,0.0719422796825602,False,,Bacillaceae,1,False
f13a69ad40cf466ff5bfb0c0609aafc6,0.4282064386779136,0.6727476903927767,0.7317606456903888,0.8254195288363887,0.6571024078955354,Pos↑,0.0016754850088183,0.0102540295301909,0.0666666666666666,0.005,0.215,0.54,False,0.005,0.017480117553703,True,CHKCI002,Eggerthellaceae,1,False
DQ799171.1.1319,-2.499635189859024,0.0197033841535751,0.0591979367814355,2.0575143730808905,2.779821720332094,Pos↓,0.0016049382716049,0.0088390233677376,0.2,0.005,0.115,0.36,False,0.005,0.2539752681046738,False,Massiliomicrobiota,Erysipelatoclostridiaceae,1,False
DQ057374.1.1386,1.7120366137161762,0.1011698415805785,0.2023396831611571,-0.2081332888161355,-0.9534938944493628,Pos↑,0.0009523809523809,0.0256848744205318,0.3333333333333333,0.015,0.17,0.42,False,0.015,0.1799231480910627,False,CAG-56,Lachnospiraceae,1,False
DQ456166.1.1450,0.4474526466192038,0.6602071004362736,0.7309435754830172,-0.7346835209190348,-0.9850986820844094,Pos↑,0.0008112874779541,0.0086068826418709,0.1333333333333333,,,,False,0.0,0.0006918053453674,True,Pseudoflavonifractor,Oscillospiraceae,1,False
ad464b0f4f2cef292428ce4cca18f4dc,0.680376328779039,0.5047308413522503,0.5904398521479155,-0.5502796933340723,-0.8205884083258905,Pos↑,0.0003350970017636,0.0104195942714645,0.0666666666666666,0.0,0.005,0.025,False,0.0,0.0465501032046043,True,Caproiciproducens,Ruminococcaceae,1,False
HQ806146.1.1448,-1.3343389359832565,0.1948254022219074,0.3451192839359502,-0.3504046620596177,0.1844196654098053,Pos↓,0.0001410934744268,0.0102654896325863,0.2,0.0,0.095,0.285,False,0.0,0.0159384580906474,True,GCA-900066575,Lachnospiraceae,1,False
MF765334.1.1250,2.342028894244484,0.0269220015251773,0.0743847239596983,-0.99780663052589,-1.991888365297332,Pos↑,1.387778780781446e-18,0.0053671765726627,0.0666666666666666,0.0,0.12,0.195,False,0.0,0.0059301375376276,True,Microbacterium,Microbacteriaceae,1,False
HQ686141.1.1218,3.7583470853793344,0.000510860414388,0.0031673345692059,-1.4868833930695209,-2.40283715391001,Pos↑,0.0,0.0,0.0,0.0,0.005,0.005,False,0.0,0.0355625580801556,True,Chryseobacterium,Weeksellaceae,1,False
LN866619.1.1259,4.561414892540227,4.973391542115391e-05,0.0007708756890278,-0.7688281140120633,-2.40283715391001,Pos↑,0.0,0.0,0.0,,,,False,0.0,0.076743811577827,False,Sphingobacterium,Sphingobacteriaceae,1,False
DQ794058.1.1402,-4.442105998225131,7.061297973310783e-05,0.0008756009486905,1.4849069628369729,3.033485010985394,Pos↓,-8.8183421516753e-05,0.0131360743099532,0.2666666666666666,0.195,0.795,0.915,False,0.195,0.5130909768355733,False,Anaerostipes,Lachnospiraceae,1,False
EU775649.1.1224,4.058675539524391,0.000211231597001,0.0016585925573013,-0.3592487653292308,-2.1945255999790705,Pos↑,-8.818342151675533e-05,0.0041579207970028,0.1333333333333333,0.0,0.03,0.065,False,0.0,0.1799231480910627,False,Terrisporobacter,Peptostreptococcaceae,1,False
KX225280.1.1202,2.8770432533946395,0.0069905034259516,0.0240784006893888,-1.149856010806989,-2.1438143977572044,Pos↑,-0.0011992945326278,0.0051578180957103,0.0666666666666666,0.0,0.015,0.025,False,0.0,0.0634160243198657,False,,Comamonadaceae,1,False
6a4f354262a6fbad12de693585b4e7f1,-3.494413931798541,0.0011182965158902,0.0057159464364745,2.2178470144508244,3.2936334920261414,Pos↓,-0.0020811287477954,0.0074217967235501,0.0666666666666666,,,,False,0.0,0.1225764180253478,False,,Ruminococcaceae,1,False
EF025267.1.1453,-3.127137262481798,0.0033727777599183,0.0123007188891139,4.440606176949031,5.313915282905518,Pos↓,-0.0041093474426807,0.0100986921253209,0.0,0.0,0.0,0.01,False,0.0,0.3123588351528051,False,,Lachnospiraceae,1,False
EU776524.1.1264,4.000442831732375,0.0003368201249245,0.0023203164161472,4.266184921951645,1.3617340454017528,Pos↑,-0.0041269841269841,0.0154417606438289,0.0,0.0,0.005,0.005,False,0.0,0.3321269109207051,False,Clostridium,Clostridiaceae,1,False
00b629e3b3acc8ca9d9839c41326c6e7,,,,,,,0.0,0.0,0.0,,,,False,0.0,,,Moraxella,Moraxellaceae,0,False
024cc2ba42a565cbc58e93e2c896bb5a,,,,,,,0.0,0.0,0.0,,,,False,0.0,,,Cetobacterium,Fusobacteriaceae,0,False
03d08b31a3d27b70b8d57b623e6fda2f,,,,,,,0.0,0.0,0.0,,,,False,0.0,,,Incertae_Sedis,Anaerovoracaceae,0,False
04c4a458a5a1e0ab867bff0b2b936680,,,,,,,0.0,0.0,0.0,,,,False,0.0,,,Candidatus_Arthromitus,Clostridiaceae,0,False
06dafa84b8565aab4ca0bf46d4cc3c63,,,,,,,0.0,0.0,0.0,,,,False,0.0,,,Incertae_Sedis,Stappiaceae,0,False
