C,n_nonzero,cv_auc
0.05,0,0.5
0.1,3,0.8480158730158731
0.2,7,0.9341269841269841
0.5,9,0.9686507936507937
1.0,10,0.9714285714285715
2.0,11,0.9706349206349205
5.0,15,0.9706349206349205
10.0,15,0.9706349206349205
50.0,18,0.9769841269841268
