FeatureID,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction
FJ382054.1.1201,-0.6909213831764646,0.4948419929477538,0.5900039146684757,2.758514476461016,3.3125918876558718,Pos↓
DQ456472.1.1372,-3.514136437850848,0.0015483148518946155,0.006856822915533298,-0.023383955619835334,2.4804789513299417,Pos↓
GQ175458.1.1439,5.8676424132752905,6.199380664269925e-07,3.8436160118473536e-05,-0.2764427736765326,-2.3183285163201557,Pos↑
KX881777.1.1230,-3.8922863884751884,0.0011375046886120158,0.005715946436474553,-1.1489659055853088,1.5517352619770823,Pos↓
KY658480.1.1210,-4.147604996286236,0.00021401194287759562,0.001658592557301366,-0.02469300777005856,3.0577392300886763,Pos↓
KT873246.1.1201,5.63787330724402,1.3463940909381041e-05,0.0003749611047260145,5.781243425008589,3.134274768697056,Pos↑
EF025214.1.1451,-1.4829869069137627,0.15081940601033134,0.29221259914501696,0.9896813321069013,1.6184879619371877,Pos↓
DQ806077.1.1402,-0.8431125626058865,0.40841965143658754,0.5431491477101991,0.6576987952135374,0.9578278872483588,Pos↓
KX225280.1.1202,2.8770432533946395,0.006990503425951607,0.02407840068938887,-1.149856010806989,-2.1438143977572044,Pos↑
KJ184999.1.1415,3.487011789020997,0.0011985048979704707,0.005715946436474553,-1.5934497351716355,-2.3183285163201557,Pos↑
f13a69ad40cf466ff5bfb0c0609aafc6,0.42820643867791364,0.6727476903927767,0.7317606456903888,0.8254195288363887,0.6571024078955354,Pos↑
MH843493.1.1214,0.7355699896015597,0.4717284420720146,0.5863049731706705,-1.3281893470042732,-1.635779192894147,Pos↑
MF765334.1.1250,2.3420288942444834,0.02692200152517734,0.07438472395969839,-0.9978066305258899,-1.9918883652973318,Pos↑
HQ686141.1.1218,3.7583470853793344,0.0005108604143880606,0.0031673345692059757,-1.4868833930695209,-2.40283715391001,Pos↑
LN866619.1.1259,4.561414892540227,4.9733915421153905e-05,0.0007708756890278855,-0.7688281140120633,-2.40283715391001,Pos↑
DQ793705.1.1389,-2.293438507063104,0.0275943330818236,0.07438472395969839,1.150099135498315,1.7940569198045866,Pos↓
ad464b0f4f2cef292428ce4cca18f4dc,0.680376328779039,0.5047308413522503,0.5904398521479155,-0.5502796933340723,-0.8205884083258905,Pos↑
HQ807248.1.1298,-0.26963989440938974,0.7896386321437336,0.8158932917479624,-0.9061435142435743,-0.8337744200662531,Pos↓
869039e5ec5a8e2a7725853c1a499e6e,3.2008225563727466,0.00271274589741531,0.010511890352484326,-1.575808178836078,-2.2338198787303005,Pos↑
GQ461821.1.1415,4.821218285265997,1.8143279260936186e-05,0.0003749611047260145,-1.2215291609877907,-2.40283715391001,Pos↑
FAGH01000127.1.1295,2.5138925823776908,0.020050914071131392,0.05919793678143554,-0.8715897564609616,-1.901705408458277,Pos↑
EU775649.1.1224,4.058675539524391,0.0002112315970010304,0.001658592557301366,-0.3592487653292308,-2.1945255999790705,Pos↑
EU776524.1.1264,4.000442831732375,0.00033682012492459524,0.002320316416147212,4.266184921951645,1.3617340454017528,Pos↑
cf42d6ef5b5f01ff0a0a2bf5b533682e,-1.7092244955250153,0.09995763524459252,0.20233968316115714,0.3731110848860343,1.210771234077182,Pos↓
DQ326634.1.1352,0.979195914116185,0.3355930669650763,0.5322337360644402,1.2440389019771412,0.7708148140769405,Pos↑
DQ799171.1.1319,-2.4996351898590237,0.01970338415357514,0.05919793678143554,2.0575143730808905,2.779821720332094,Pos↓
DQ793739.1.1403,-0.30518510236014623,0.7622551514465696,0.8010138879608021,0.7202695071223725,0.8243224031280432,Pos↓
HQ452859.1.1430,-0.7085482358936599,0.48334892551749953,0.5876006545506857,0.3868100986219895,0.6324486313259106,Pos↓
GQ491803.1.1365,1.8758787568266473,0.07022688322692094,0.16746410615650378,-0.25962986592452814,-0.9309795256558384,Pos↑
