FeatureID,importance_mean,importance_sd,frac_folds_positive
DQ441256.1.1313,0.0,0.0,0.0
AY169416.1.1303,0.0,0.0,0.0
HQ800862.1.1308,0.0,0.0,0.0
FJ503238.1.1390,0.0,0.0,0.0
FJ382054.1.1201,-0.002257495590828923,0.0058071578489613165,0.0
DQ057389.1.1363,0.0,0.0,0.0
DQ342328.1.1502,0.0,0.0,0.0
HQ741563.1.1403,0.0,0.0,0.0
JQ248093.1.1509,0.0,0.0,0.0
DQ456472.1.1372,0.0052204585537918855,0.015260206702206658,0.2
GQ175458.1.1439,0.013333333333333324,0.02682019576043424,0.4
DQ456474.1.1446,0.0,0.0,0.0
FJ367839.1.1353,0.0,0.0,0.0
FJ975910.1.1372,0.0,0.0,0.0
EU774765.1.1436,0.0,0.0,0.0
KX881777.1.1230,0.012998236331569657,0.02682942594279825,0.5333333333333333
KY658480.1.1210,0.006437389770723103,0.018946100884650152,0.4
JQ855544.1.1247,0.0,0.0,0.0
HQ717226.1.1310,0.0,0.0,0.0
Y18355.1.1409,0.0,0.0,0.0
EU777245.1.1203,0.0,0.0,0.0
EF071237.1.1250,0.0,0.0,0.0
AUAN01000035.1.1363,0.0,0.0,0.0
GQ175468.1.1444,0.0,0.0,0.0
8b89d3fce643e005ff94eae4ff40b75b,0.0,0.0,0.0
EU767216.1.1327,0.0,0.0,0.0
AJ876519.1.1235,0.0,0.0,0.0
KT873246.1.1201,0.0015167548500881784,0.01657148338095708,0.26666666666666666
KX212257.1.1200,0.0,0.0,0.0
EU766290.1.1374,0.0,0.0,0.0
EU775601.1.1268,0.0,0.0,0.0
2364810cd370c6c4d7b0afc6662bb4d8,0.0,0.0,0.0
EF025214.1.1451,-0.0001234567901234556,0.00046193301071283284,0.06666666666666667
AY212778.1.1210,0.0,0.0,0.0
AM406458.1.1481,0.0,0.0,0.0
JQ248113.1.1510,0.0,0.0,0.0
DQ806077.1.1402,-0.0032275132275132253,0.007321369822075087,0.0
LT635479.2887212.2888725,0.0,0.0,0.0
61ae007cd63dc30c60001aaa869e2ffc,0.0,0.0,0.0
DQ794370.1.1390,0.0,0.0,0.0
KX225280.1.1202,-0.0011992945326278661,0.005157818095710367,0.06666666666666667
KJ184999.1.1415,3.5273368606701605e-05,0.0024682538107273074,0.13333333333333333
KC294021.1.1310,0.0,0.0,0.0
