prevalence,n_features,p_over_n,AUC
0.05,92,1.803921568627451,0.9761904761904763
0.1,68,1.3333333333333333,0.9761904761904763
0.15,55,1.0784313725490196,0.9396825396825397
0.2,51,1.0,0.9452380952380952
0.3,45,0.8823529411764706,0.9492063492063492
0.4,39,0.7647058823529411,0.9547619047619047
