model,AUC,AUC_sd,PR-AUC,PR-AUC_sd,BalAcc,n_folds
L2-LR,0.768581203742494,0.05666063335119222,0.8391281578311361,0.04487373248613589,0.6649585253456222,25
L1-LR,0.771152073732719,0.054318201894731244,0.8372000122268313,0.0440491278234976,0.6845521575198994,25
RF,0.8077212679793325,0.041225765360440654,0.848315371607283,0.03643198338839424,0.7017285295349812,25
HGB,0.8001714844295489,0.04639790111476972,0.8474663305687133,0.03939946634738653,0.6991249825443373,25
