FeatureID,t,p,FDR,mean_clr_Pos,mean_clr_Neg,direction,prevalence,Phylum,Family,Genus
da821e0a5e2bb6359d37fc6ddafd82c1,-5.834858258661945,2.5294186541833375e-08,1.7705930579283362e-06,-0.3826811829105426,1.2506022358213211,Pos↓,0.38076923076923075,Actinomycetota,Micrococcaceae,Rothia
6718eb07f4a1ded94863a63d5e19474e,-5.130454262715637,6.626411902740411e-07,2.319244165959144e-05,0.6873840038976704,2.4768941707495675,Pos↓,0.5615384615384615,Bacillota,Veillonellaceae,Veillonella
04c4a458a5a1e0ab867bff0b2b936680,4.829562716117427,2.502714799793426e-06,3.6350262576814684e-05,-0.19822483915267913,-1.115406553062262,Pos↑,0.2153846153846154,Bacillota,Clostridiaceae,Candidatus_Arthromitus
8e450566af04da60335f56e9098b4eec,-4.842264182072798,2.6765239196892927e-06,3.6350262576814684e-05,-0.5054483819497504,0.7664443006544551,Pos↓,0.36153846153846153,Bacillota,Mycoplasmataceae,
0c9e3ed50197a5f104e61cd0520fbb29,4.7678962381861085,3.1145990458079754e-06,3.6350262576814684e-05,0.5109331698273634,-0.5688149918395311,Pos↑,0.4230769230769231,,,
8ef7520d749a002ff44b11ee16c27f1b,-4.813494314349155,3.115736792298402e-06,3.6350262576814684e-05,-0.2887456616633776,1.0787766800694694,Pos↓,0.40384615384615385,Bacteroidota,Prevotellaceae,Prevotella
9eb9acee9f8012d509191f395cd33680,4.420974676875095,1.451527316132658e-05,0.0001451527316132658,0.2147089387729089,-0.7727225805653873,Pos↑,0.31153846153846154,Actinomycetota,,
84b87a5527ad7573a01f9a340b45b8b2,4.353806504344014,1.932920135093272e-05,0.0001691305118206613,0.2363717167509701,-0.6194784613667921,Pos↑,0.41923076923076924,Actinomycetota,Actinomycetaceae,Varibaculum
f8bb29a5251534049b2e1c111bc39f14,3.921318221658874,0.00011733821853250491,0.0009126305885861493,3.071258148900782,1.7434969573384995,Pos↑,0.7576923076923077,Pseudomonadota,Pasteurellaceae,Psittacicella
463b2f0461c807f6f6a2ebd7bcff9c7a,-3.8771357848123205,0.00014920416517167812,0.0010444291562017468,-0.14925074156872106,0.7493530081396981,Pos↓,0.49230769230769234,Bacillota,Staphylococcaceae,Staphylococcus
5c1b884fe5810b2c1045bf75572ef12f,3.6239076397250303,0.00035178429805852855,0.002238627351281545,-1.0032211097927732,-1.3695650762221185,Pos↑,0.1,Bacteroidota,Paludibacteraceae,H1
ed995199585e2404bfe5f588a06291fc,-3.589580429482811,0.00045664420747106325,0.0026637578769145354,-1.2912735365529964,-0.8161857560201545,Pos↓,0.12307692307692308,Actinomycetota,Actinomycetaceae,Schaalia
5a64a6f1f4e7afd3bbbf171c5c35b46f,-3.4922825481790527,0.0005833986874520413,0.0031413775478186844,0.2091985713477303,1.2927849322033371,Pos↓,0.49230769230769234,Pseudomonadota,Pasteurellaceae,
b81519f9ff85d250b3ff11b93ec54bc8,3.225793356778246,0.001424644073788417,0.007123220368942086,1.0418391462124408,0.21609873956501582,Pos↑,0.5615384615384615,Bacillota,Incertae_Sedis,Incertae_Sedis
816bc6359bb36d4bd2ac7c129451f617,3.0404783575396674,0.0026071461471941135,0.012101549971841633,-0.7746319408311199,-1.1724497509622311,Pos↑,0.17307692307692307,Bacillota,Oscillospiraceae,Mageeibacillus
0775e59cd173135c46460efc24f0c35a,3.021791200278887,0.002766068564992373,0.012101549971841633,0.1237667237849194,-0.5421438028170811,Pos↑,0.36153846153846153,Bacillota,Ruminococcaceae,
da6858e27b2e7bb754853591e2b46704,-2.9775157644494237,0.0032215601876564907,0.013265247831526725,-0.527853016821121,0.13595222522508882,Pos↓,0.3423076923076923,Bacillota,Gemellaceae,Gemella
