param_clf__C,0.0001,0.001,0.01,0.1,scale
0.01,0.7451920122887865,0.7503519061583578,0.7303602848764139,0.7064097193129452,0.7379611786063399
0.05,0.7451920122887865,0.7503519061583578,0.7303602848764139,0.7064097193129452,0.7379611786063399
0.1,0.7451920122887865,0.7503519061583578,0.7303602848764139,0.7064097193129452,0.7379611786063399
0.5,0.7451920122887865,0.7467197318810223,0.7598044965786901,0.7064097193129452,0.7737815947493367
1.0,0.7451920122887865,0.7524856863566541,0.7934869431643625,0.7274486803519061,0.8026448819997206
5.0,0.7470227621840525,0.7520402178466694,0.8001703672671414,0.7380337941628264,0.8077880184331798
10.0,0.7470311409021086,0.7624018991760927,0.7925736628962436,0.7380337941628264,0.8077503142019271
50.0,0.7407903924032957,0.7645147325792487,0.779106270074012,0.7380337941628264,0.7979863147605083
100.0,0.7550747102360006,0.7566317553414328,0.779106270074012,0.7380337941628264,0.7979863147605083
500.0,0.7678187403993857,0.7346711353162967,0.779106270074012,0.7380337941628264,0.7979863147605083
