stratum,n,n_pos,pos_rate,AUC,PR_AUC,accuracy,baseline_acc,acc_gain,sensitivity,specificity,MCC
全部样本（未分层）,260,151,0.5807692307692308,0.832654474755453,0.8559903514056038,0.7723076923076924,0.5807692307692308,0.19153846153846155,0.8225165562913908,0.7027522935779816,0.5295746902733911
7 月,86,52,0.6046511627906976,0.964683257918552,0.9638177248741566,0.9488372093023256,0.6046511627906976,0.344186046511628,0.9615384615384616,0.9294117647058824,0.8928105029012801
8 月,37,25,0.6756756756756757,0.9096000000000001,0.9621033249261155,0.8378378378378378,0.6756756756756757,0.16216216216216217,0.92,0.6666666666666666,0.6184009646551498
10 月,42,24,0.5714285714285714,0.7341666666666667,0.723676660989225,0.6761904761904762,0.5714285714285714,0.10476190476190483,0.7833333333333333,0.5333333333333333,0.32804159455524323
7+8 月（同季节合并）,123,77,0.6260162601626016,0.9587012987012988,0.9733744117258759,0.9300813008130081,0.6260162601626016,0.3040650406504065,0.9506493506493506,0.8956521739130435,0.8501505564716241
