Model,Accuracy,BalancedAcc,ROC_AUC,PR_AUC,Sensitivity,Specificity,Precision,F1,MCC,Accuracy_sd,BalancedAcc_sd,ROC_AUC_sd,PR_AUC_sd,Sensitivity_sd,Specificity_sd,Precision_sd,F1_sd,MCC_sd
L2-LR,0.6653846153846155,0.6640494344365312,0.7721569613182515,0.8416474019771067,0.672774193548387,0.6553246753246753,0.7314883377713963,0.6986598523107136,0.3270291379837589,0.04710557197659957,0.047104424601760016,0.05390353365736307,0.044083516420306265,0.07541889799371679,0.08311819834216742,0.04872740389996589,0.050866264245415585,0.09282159514078096
L1-LR,0.6869230769230767,0.6847945817623237,0.7721226085742213,0.8375970284583175,0.6966021505376344,0.672987012987013,0.7519226079362791,0.7201626109593715,0.36926950543131953,0.057563959796522186,0.06096445253045429,0.054860984348756664,0.04514804077155169,0.07313322111726137,0.10681242500836156,0.06787257096257773,0.05287322773267148,0.12218072230327377
RandomForest,0.7176923076923077,0.692542103058232,0.8056395754782851,0.8453651353206303,0.8503655913978495,0.5347186147186147,0.7208837220928929,0.7772151986166417,0.4160910534718492,0.05946009551438581,0.06524590730997315,0.042378419713846316,0.039965070351080774,0.08192219480375587,0.13987647607419573,0.05755798380579667,0.048341616851174635,0.1270277349767365
SVM-linear,0.6784615384615384,0.6608515570451055,0.7547430526462784,0.8270574485846207,0.7710537634408603,0.5506493506493507,0.7057250430523303,0.7345555837274925,0.3345566632628676,0.0542566768448688,0.05541530547407028,0.05516553518496732,0.043849088374086964,0.08417193953140419,0.10343663433481362,0.04701183633144056,0.050162486164723775,0.11192700986501121
SVM-RBF,0.7730769230769231,0.7638975003491133,0.834910906298003,0.870712365479483,0.8195698924731183,0.7082251082251082,0.7985344122120932,0.8069735388753035,0.5350350374508853,0.05523617929363489,0.0575947963275191,0.059657070725046994,0.05630781010040668,0.06878989713592297,0.09944939400571551,0.05418490022120834,0.04684111300960985,0.11597097303296786
HistGB,0.7092307692307692,0.6951855886049435,0.7944317832704929,0.8434447179640143,0.7828387096774193,0.6075324675324676,0.7366821770131822,0.7572130062959457,0.3993394752332776,0.04975284079982629,0.05306426730542269,0.04546416092203968,0.03649110862813125,0.06613739493120457,0.09989539014687046,0.04784445645923557,0.04222751479950451,0.105564837313412
XGBoost,0.7269230769230768,0.7159986035469906,0.8003290043290044,0.8457005095866111,0.7857634408602149,0.6462337662337662,0.7564307694080645,0.7681143963256983,0.4414005593475791,0.052372226405026256,0.051540085758409106,0.05055905358521014,0.04566203624188671,0.0871395089636747,0.08898640197671527,0.04642057178936569,0.050781704303591545,0.10568698239049583
Baseline(全猜Pos),0.5807692307692307,0.5,0.5,0.5807692307692307,1.0,0.0,0.5807692307692307,0.7347634440199823,0.0,0.007850928662766614,0.0,0.0,0.007850928662766614,0.0,0.0,0.007850928662766614,0.0062382930073819716,0.0
