model,LOLO_AUC_mean,LOLO_AUC_min,LOLO_AUC_max,LOLO_MCC_mean,random_CV_AUC,drop
SVM-RBF,0.4434102695393018,0.16825396825396824,0.6253101736972705,-0.06413820964695431,0.8525380116959065,-0.4091277421566047
ExtraTrees,0.4430501398243334,0.16190476190476188,0.6000000000000001,-0.1579083466872309,0.8420397660818715,-0.3989896262575381
L1-LR,0.4690367219399478,0.12634920634920632,0.6540942928039702,-0.03509890669565846,0.7765473684210525,-0.30751064648110477
