SampleID	HostGroup	HostSpecies	SampleContext	Infection	Observed_Genera	Chao1_Genus	Shannon_Genus	Simpson_Genus	InvSimpson_Genus	Pielou_Genus	SequencingDepth
SRR12148815_merged	Poultry	Turkey	Experimental	Pos	31	33	1.89404312648694	0.769711030979534	4.34237038905293	0.551558003481527	4272
SRR12148817_merged	Poultry	Turkey	Experimental	Pos	15	15.2	0.796506147128385	0.513576525452748	2.05582183493666	0.294125325595588	4472
SRR12148818_merged	Poultry	Turkey	Experimental	Pos	16	18	0.827054317168013	0.518680330663433	2.07762130597813	0.298296790481025	4116
SRR12148819_merged	Poultry	Turkey	Experimental	Pos	31	31.5	1.74645926360573	0.651522713905096	2.86962749052075	0.508580597308189	4995
SRR12148820_merged	Poultry	Turkey	Experimental	Pos	25	25.5	1.03044426747205	0.529282373953185	2.12441588048914	0.320125510748536	4422
SRR12148821_merged	Poultry	Turkey	Experimental	Pos	30	30.75	1.20146378223432	0.513921556954741	2.05728111235513	0.353247297176023	4617
SRR12148822_merged	Poultry	Turkey	Experimental	Pos	18	20.5	0.779634308091755	0.507536537465772	2.03060749898881	0.269734959166371	4630
SRR12148823_merged	Poultry	Turkey	Experimental	Pos	37	40	1.36409534507987	0.572099336508261	2.33699100122873	0.377769691275247	4638
SRR12148824_merged	Poultry	Turkey	Experimental	Pos	19	20	1.34050634299822	0.673245848959832	3.06040488488567	0.455267150205202	4998
SRR12148825_merged	Poultry	Turkey	Experimental	Pos	45	46.2	2.08075244716529	0.763029242002696	4.21992995444348	0.546608072755836	4463
SRR12148826_merged	Poultry	Turkey	Experimental	Pos	47	48	2.87526524789646	0.889276721668443	9.03152449122337	0.746793511661578	4983
SRR12148828_merged	Poultry	Turkey	Experimental	Pos	44	45	2.08271116683478	0.769235846056517	4.33342866693633	0.550371775285025	4868
SRR12148829_merged	Poultry	Turkey	Experimental	Pos	47	47.5	1.77399614882576	0.670462357779417	3.03455469688233	0.460760555786961	4918
SRR12148830_merged	Poultry	Turkey	Experimental	Pos	42	42.25	2.41481543075971	0.859542294202828	7.11958090390605	0.646075142368732	4893
SRR12148831_merged	Poultry	Turkey	Experimental	Pos	36	36	2.1777949178782	0.747436784816455	3.95940477425928	0.607725243058562	4999
SRR12148832_merged	Poultry	Turkey	Experimental	Pos	41	43.1428571428571	1.95749705379949	0.765659062307164	4.26728684217675	0.527119716175783	4982
SRR12148833_merged	Poultry	Turkey	Experimental	Pos	34	34.25	0.728059261989866	0.246241961706942	1.32668568585295	0.206461947639093	4997
SRR12148834_merged	Poultry	Turkey	Experimental	Pos	34	36	1.66793889781119	0.684931962332359	3.17391763189537	0.472991597475061	4692
SRR12148835_merged	Poultry	Turkey	Experimental	Pos	49	50.25	1.93500952539402	0.71325492679569	3.48741824515146	0.497199093784833	3601
SRR12148836_merged	Poultry	Turkey	Experimental	Pos	35	36.5	1.60200290547646	0.67851504	3.11056542116309	0.450589612541436	5000
SRR12148837_merged	Poultry	Turkey	Experimental	Pos	46	46	2.74403037925362	0.874147513154967	7.94581040922406	0.716711254746899	4742
SRR12148839_merged	Poultry	Turkey	Experimental	Pos	25	39	1.41340205886775	0.699226182504502	3.32475748164139	0.439098037876506	4659
SRR12148840_merged	Poultry	Turkey	Experimental	Pos	42	42	1.85307757657884	0.731887141134897	3.72977261975762	0.495784209367847	4601
SRR12148841_merged	Poultry	Turkey	Experimental	Pos	44	44.6	2.07892687041993	0.783228624674572	4.61315521248482	0.549371747067376	4522
SRR12148845_merged	Poultry	Turkey	Experimental	Neg	42	43.5	2.64744984969966	0.892311535131986	9.2860456431023	0.708315640512811	4906
SRR12148846_merged	Poultry	Turkey	Experimental	Neg	46	47.5	2.47821165625525	0.857569656967569	7.02097585886107	0.647282260106103	4826
SRR12148847_merged	Poultry	Turkey	Experimental	Neg	46	47	2.29171527595	0.771294419072818	4.37243374624247	0.598571409182256	4957
SRR12148848_merged	Poultry	Turkey	Experimental	Neg	37	37	2.20133755336697	0.822727223680948	5.64102408031463	0.609633784711256	4993
SRR12148849_merged	Poultry	Turkey	Experimental	Neg	43	46.3333333333333	2.26720378724825	0.826960684283917	5.7790334864752	0.602787333167511	3564
SRR12148850_merged	Poultry	Turkey	Experimental	Neg	38	38.1428571428571	1.77041783053635	0.687010405338544	3.19499439296583	0.486701277384868	2524
