SampleID	HostGroup	HostSpecies	SampleContext	Infection	BaselineCoreSize	CoreTaxaPresent	CoreTaxaLost	CoreRetentionProportion	CoreAbundanceRetention	NonCoreTaxaPresent	TotalTaxaPresent	CoreMembershipProportion
SRR7146738	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.8514	5	13	0.615384615384615
SRR7146739	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.5262	9	18	0.5
SRR7146740	Duck	Duck	Wild	Pos	14	13	1	0.928571428571429	0.8542	9	22	0.590909090909091
SRR7146741	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.7244	22	31	0.290322580645161
SRR7146743	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.48037645174209	6	10	0.4
SRR7146744	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.9778	5	17	0.705882352941177
SRR7146745	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.9906	3	11	0.727272727272727
SRR7146746	Duck	Duck	Wild	Pos	14	7	7	0.5	0.7658	16	23	0.304347826086957
SRR7146747	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.9934	3	7	0.571428571428571
SRR7146748	Duck	Duck	Wild	Neg	14	7	7	0.5	0.9654	10	17	0.411764705882353
SRR7146749	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.7112	17	29	0.413793103448276
SRR7146750	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.9906	4	16	0.75
SRR7146751	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.786	10	20	0.5
SRR7146753	Duck	Duck	Wild	Pos	14	13	1	0.928571428571429	0.974	7	20	0.65
SRR7146754	Duck	Duck	Wild	Neg	14	14	0	1	0.9586	10	24	0.583333333333333
SRR7146755	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.942	5	13	0.615384615384615
SRR7146756	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.9512	10	20	0.5
SRR7146757	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.97	3	11	0.727272727272727
SRR7146758	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.8222	9	21	0.571428571428571
SRR7146759	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.8668	4	16	0.75
SRR7146761	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.9364	7	17	0.588235294117647
SRR7146762	Duck	Duck	Wild	Pos	14	13	1	0.928571428571429	0.629332799038269	22	35	0.371428571428571
SRR7146763	Duck	Duck	Wild	Pos	14	7	7	0.5	0.885667950537198	16	23	0.304347826086957
SRR7146764	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.7068	16	28	0.428571428571429
SRR7146765	Duck	Duck	Wild	Pos	14	13	1	0.928571428571429	0.8628	15	28	0.464285714285714
SRR7146766	Duck	Duck	Wild	Pos	14	7	7	0.5	0.6716	6	13	0.538461538461538
SRR7146767	Duck	Duck	Wild	Pos	14	11	3	0.785714285714286	0.9312	8	19	0.578947368421053
SRR7146769	Duck	Duck	Wild	Pos	14	10	4	0.714285714285714	0.2722	11	21	0.476190476190476
SRR7146770	Duck	Duck	Wild	Pos	14	11	3	0.785714285714286	0.0878	16	27	0.407407407407407
SRR7146772	Duck	Duck	Wild	Pos	14	7	7	0.5	0.9758	6	13	0.538461538461538
SRR7146773	Duck	Duck	Wild	Neg	14	7	7	0.5	0.767	10	17	0.411764705882353
SRR7146774	Duck	Duck	Wild	Pos	14	7	7	0.5	0.979	8	15	0.466666666666667
SRR7146775	Duck	Duck	Wild	Neg	14	13	1	0.928571428571429	0.652	17	30	0.433333333333333
SRR7146776	Duck	Duck	Wild	Pos	14	7	7	0.5	0.902443950717027	14	21	0.333333333333333
SRR7146777	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.873574714942989	18	27	0.333333333333333
SRR7146778	Duck	Duck	Wild	Neg	14	6	8	0.428571428571429	0.9468	9	15	0.4
SRR7146780	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.92412960354196	15	24	0.375
SRR7146781	Duck	Duck	Wild	Neg	14	7	7	0.5	0.87	14	21	0.333333333333333
SRR7146782	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.8956	16	24	0.333333333333333
SRR7146783	Duck	Duck	Wild	Neg	14	7	7	0.5	0.748	14	21	0.333333333333333
SRR7146784	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.9478	6	11	0.454545454545455
SRR7146785	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.9274	11	19	0.421052631578947
SRR7146786	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.9384	12	20	0.4
SRR7146787	Duck	Duck	Wild	Pos	14	7	7	0.5	0.4792	4	11	0.636363636363636
SRR7146788	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.6562	20	28	0.285714285714286
SRR7146789	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.9494	10	18	0.444444444444444
SRR7146790	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.9178	13	22	0.409090909090909
SRR7146792	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.7396	4	8	0.5
SRR7146794	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.8344	11	21	0.476190476190476
SRR7146797	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.779	11	20	0.45
SRR7146798	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.8862	10	20	0.5
SRR7146800	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.789	10	18	0.444444444444444
SRR7146802	Duck	Duck	Wild	Pos	14	7	7	0.5	0.91	7	14	0.5
SRR7146803	Duck	Duck	Wild	Pos	14	11	3	0.785714285714286	0.856	10	21	0.523809523809524
SRR7146804	Duck	Duck	Wild	Neg	14	7	7	0.5	0.9488	3	10	0.7
SRR7146806	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.9806	6	15	0.6
SRR7146807	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.8796	13	22	0.409090909090909
SRR7146809	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.9894	3	11	0.727272727272727
SRR7146810	Duck	Duck	Wild	Pos	14	10	4	0.714285714285714	0.5866	26	36	0.277777777777778
SRR7146811	Duck	Duck	Wild	Pos	14	7	7	0.5	0.7572	9	16	0.4375
SRR7146814	Duck	Duck	Wild	Neg	14	12	2	0.857142857142857	0.793	12	24	0.5
SRR7146815	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.2424	16	25	0.36
SRR7146816	Duck	Duck	Wild	Neg	14	6	8	0.428571428571429	0.9848	4	10	0.6
SRR7146817	Duck	Duck	Wild	Pos	14	11	3	0.785714285714286	0.872374798061389	19	30	0.366666666666667
SRR7146819	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.7246	5	9	0.444444444444444
SRR7146820	Duck	Duck	Wild	Pos	14	7	7	0.5	0.7402	4	11	0.636363636363636
SRR7146821	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.745803842264914	17	22	0.227272727272727
SRR7146822	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.754371695811305	17	25	0.32
SRR7146823	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.740521810028536	15	20	0.25
SRR7146826	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.345676541232986	22	26	0.153846153846154
SRR7146827	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.629229229229229	19	28	0.321428571428571
SRR7146828	Duck	Duck	Wild	Neg	14	13	1	0.928571428571429	0.7838	19	32	0.40625
SRR7146829	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.902	9	20	0.55
SRR7146831	Duck	Duck	Wild	Neg	14	12	2	0.857142857142857	0.8196	11	23	0.521739130434783
SRR7146832	Duck	Duck	Wild	Neg	14	7	7	0.5	0.9926	3	10	0.7
SRR7146833	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.9576	6	18	0.666666666666667
SRR7146834	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.7632	4	8	0.5
SRR7146835	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.7788	13	22	0.409090909090909
SRR7146836	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.8224	9	20	0.55
SRR7146837	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.7572	13	23	0.434782608695652
SRR7146838	Duck	Duck	Wild	Neg	14	7	7	0.5	0.4034	14	21	0.333333333333333
SRR7146839	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.416566143948532	14	23	0.391304347826087
SRR7146840	Duck	Duck	Wild	Pos	14	4	10	0.285714285714286	0.8686	5	9	0.444444444444444
SRR7146841	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.9884	2	7	0.714285714285714
SRR7146843	Duck	Duck	Wild	Pos	14	6	8	0.428571428571429	0.2666	8	14	0.428571428571429
SRR7146844	Duck	Duck	Wild	Pos	14	7	7	0.5	0.959249546096429	11	18	0.388888888888889
SRR7146846	Duck	Duck	Wild	Pos	14	6	8	0.428571428571429	0.436	22	28	0.214285714285714
SRR7146848	Duck	Duck	Wild	Pos	14	7	7	0.5	0.732288273615635	14	21	0.333333333333333
SRR7146849	Duck	Duck	Wild	Pos	14	7	7	0.5	0.870236662655435	14	21	0.333333333333333
SRR7146850	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.709723064483525	12	17	0.294117647058824
SRR7146851	Duck	Duck	Wild	Pos	14	7	7	0.5	0.917720248846077	10	17	0.411764705882353
SRR7146852	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.86	10	18	0.444444444444444
SRR7146853	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.3268	14	25	0.44
SRR7146854	Duck	Duck	Wild	Pos	14	9	5	0.642857142857143	0.9562	7	16	0.5625
SRR7146855	Duck	Duck	Wild	Neg	14	4	10	0.285714285714286	0.1424	14	18	0.222222222222222
SRR7146856	Duck	Duck	Wild	Neg	14	6	8	0.428571428571429	0.087	11	17	0.352941176470588
SRR7146857	Duck	Duck	Wild	Neg	14	7	7	0.5	0.882	10	17	0.411764705882353
SRR7146858	Duck	Duck	Wild	Neg	14	7	7	0.5	0.9014	6	13	0.538461538461538
SRR7146859	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.7342	7	15	0.533333333333333
SRR7146860	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.3322	19	27	0.296296296296296
SRR7146861	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.9364	10	19	0.473684210526316
SRR7146862	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.5156	4	12	0.666666666666667
SRR7146863	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.4804	17	26	0.346153846153846
SRR7146865	Duck	Duck	Wild	Pos	14	14	0	1	0.9652	11	25	0.56
SRR7146866	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.8974	6	14	0.571428571428571
SRR7146868	Duck	Duck	Wild	Pos	14	10	4	0.714285714285714	0.9806	4	14	0.714285714285714
SRR7146869	Duck	Duck	Wild	Pos	14	14	0	1	0.932519022827393	17	31	0.451612903225806
