SampleID	HostGroup	HostSpecies	SampleContext	Infection	BaselineCoreSize	CoreTaxaPresent	CoreTaxaLost	CoreRetentionProportion	CoreAbundanceRetention	NonCoreTaxaPresent	TotalTaxaPresent	CoreMembershipProportion
SRR12148826_merged	Poultry	Turkey	Experimental	Pos	32	30	2	0.9375	0.881396748946418	12	42	0.714285714285714
SRR12148828_merged	Poultry	Turkey	Experimental	Pos	32	27	5	0.84375	0.976170912078883	7	34	0.794117647058823
SRR12148829_merged	Poultry	Turkey	Experimental	Pos	32	26	6	0.8125	0.97844652297682	6	32	0.8125
SRR12148830_merged	Poultry	Turkey	Experimental	Pos	32	28	4	0.875	0.973022685469037	6	34	0.823529411764706
SRR12148831_merged	Poultry	Turkey	Experimental	Pos	32	26	6	0.8125	0.954590918183637	6	32	0.8125
SRR12148832_merged	Poultry	Turkey	Experimental	Pos	32	16	16	0.5	0.889201124046568	8	24	0.666666666666667
SRR12148833_merged	Poultry	Turkey	Experimental	Pos	32	20	12	0.625	0.992195317190314	2	22	0.909090909090909
SRR12148834_merged	Poultry	Turkey	Experimental	Pos	32	21	11	0.65625	0.97229326513214	5	26	0.807692307692308
SRR12148835_merged	Poultry	Turkey	Experimental	Pos	32	22	10	0.6875	0.931407942238267	15	37	0.594594594594595
SRR12148836_merged	Poultry	Turkey	Experimental	Pos	32	20	12	0.625	0.8244	4	24	0.833333333333333
SRR12148837_merged	Poultry	Turkey	Experimental	Pos	32	25	7	0.78125	0.91269506537326	11	36	0.694444444444444
SRR12148839_merged	Poultry	Turkey	Experimental	Pos	32	10	22	0.3125	0.991843743292552	3	13	0.769230769230769
SRR12148840_merged	Poultry	Turkey	Experimental	Pos	32	25	7	0.78125	0.977830906324712	8	33	0.757575757575758
SRR12148841_merged	Poultry	Turkey	Experimental	Pos	32	27	5	0.84375	0.962848297213622	6	33	0.818181818181818
SRR12148845_merged	Poultry	Turkey	Experimental	Neg	32	28	4	0.875	0.978597635548308	5	33	0.848484848484849
SRR12148846_merged	Poultry	Turkey	Experimental	Neg	32	28	4	0.875	0.902196435971819	7	35	0.8
SRR12148847_merged	Poultry	Turkey	Experimental	Neg	32	32	0	1	0.958240871494856	7	39	0.82051282051282
SRR12148848_merged	Poultry	Turkey	Experimental	Neg	32	26	6	0.8125	0.941317844982976	6	32	0.8125
SRR12148849_merged	Poultry	Turkey	Experimental	Neg	32	26	6	0.8125	0.985690235690236	5	31	0.838709677419355
SRR12148850_merged	Poultry	Turkey	Experimental	Neg	32	24	8	0.75	0.971473851030111	6	30	0.8
SRR12148851_merged	Poultry	Turkey	Experimental	Neg	32	27	5	0.84375	0.990408163265306	3	30	0.9
SRR12148852_merged	Poultry	Turkey	Experimental	Neg	32	31	1	0.96875	0.976583734058122	9	40	0.775
SRR12148853_merged	Poultry	Turkey	Experimental	Neg	32	27	5	0.84375	0.985912486659552	5	32	0.84375
SRR12148854_merged	Poultry	Turkey	Experimental	Neg	32	31	1	0.96875	0.95146409947854	8	39	0.794871794871795
SRR12148855_merged	Poultry	Turkey	Experimental	Neg	32	28	4	0.875	0.993838963246229	2	30	0.933333333333333
SRR12148856_merged	Poultry	Turkey	Experimental	Neg	32	16	16	0.5	0.998184385717168	1	17	0.941176470588235
SRR4409218	Swan	WhooperSwan	Wild	Pos	31	8	23	0.258064516129032	0.952	3	11	0.727272727272727
SRR4409219	Swan	WhooperSwan	Wild	Pos	31	14	17	0.451612903225806	0.974708952228021	6	20	0.7
SRR4409220	Swan	WhooperSwan	Wild	Neg	31	25	6	0.806451612903226	0.916025900445164	12	37	0.675675675675676
SRR4409221	Swan	WhooperSwan	Wild	Neg	31	26	5	0.838709677419355	0.954929577464789	15	41	0.634146341463415
SRR4409222	Swan	WhooperSwan	Wild	Neg	31	31	0	1	0.858742999377722	29	60	0.516666666666667
SRR4409223	Swan	WhooperSwan	Wild	Neg	31	26	5	0.838709677419355	0.899218428630193	20	46	0.565217391304348
SRR4409224	Swan	WhooperSwan	Wild	Neg	31	17	14	0.548387096774194	0.95650414727898	11	28	0.607142857142857
SRR4409225	Swan	WhooperSwan	Wild	Pos	31	14	17	0.451612903225806	0.43141592920354	10	24	0.583333333333333
SRR4409226	Swan	WhooperSwan	Wild	Pos	31	13	18	0.419354838709677	0.256827309236948	12	25	0.52
SRR4409227	Swan	WhooperSwan	Wild	Pos	31	18	13	0.580645161290323	0.966850828729282	8	26	0.692307692307692
SRR4409228	Swan	WhooperSwan	Wild	Pos	31	13	18	0.419354838709677	0.920523138832998	11	24	0.541666666666667
SRR4409229	Swan	WhooperSwan	Wild	Pos	31	11	20	0.354838709677419	0.953404298051818	3	14	0.785714285714286
SRR4409230	Swan	WhooperSwan	Wild	Pos	31	10	21	0.32258064516129	0.222422422422422	6	16	0.625
SRR4409231	Swan	WhooperSwan	Wild	Pos	31	7	24	0.225806451612903	0.947505509917852	7	14	0.5
SRR4409232	Swan	WhooperSwan	Wild	Pos	31	8	23	0.258064516129032	0.507855539685778	8	16	0.5
SRR7146574	Duck	Duck	Wild	Pos	14	10	4	0.714285714285714	0.659	27	37	0.27027027027027
SRR7146575	Duck	Duck	Wild	Pos	14	7	7	0.5	0.3662	23	30	0.233333333333333
SRR7146576	Duck	Duck	Wild	Neg	14	8	6	0.571428571428571	0.9694	4	12	0.666666666666667
SRR7146577	Duck	Duck	Wild	Neg	14	4	10	0.285714285714286	0.9878	5	9	0.444444444444444
SRR7146578	Duck	Duck	Wild	Pos	14	6	8	0.428571428571429	0.8554	4	10	0.6
SRR7146580	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.8376	11	22	0.5
SRR7146581	Duck	Duck	Wild	Neg	14	12	2	0.857142857142857	0.8556	8	20	0.6
SRR7146582	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.9434	4	15	0.733333333333333
SRR7146583	Duck	Duck	Wild	Neg	14	11	3	0.785714285714286	0.811	17	28	0.392857142857143
SRR7146584	Duck	Duck	Wild	Neg	14	12	2	0.857142857142857	0.7996	14	26	0.461538461538462
SRR7146585	Duck	Duck	Wild	Neg	14	9	5	0.642857142857143	0.335	11	20	0.45
SRR7146587	Duck	Duck	Wild	Neg	14	10	4	0.714285714285714	0.89	12	22	0.454545454545455
SRR7146588	Duck	Duck	Wild	Pos	14	14	0	1	0.734	28	42	0.333333333333333
SRR7146589	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.8974	9	21	0.571428571428571
SRR7146590	Duck	Duck	Wild	Pos	14	12	2	0.857142857142857	0.903873168773831	12	24	0.5
SRR7146591	Duck	Duck	Wild	Pos	14	6	8	0.428571428571429	0.9592	8	14	0.428571428571429
SRR7146592	Duck	Duck	Wild	Pos	14	7	7	0.5	0.977	7	14	0.5
SRR7146593	Duck	Duck	Wild	Pos	14	5	9	0.357142857142857	0.9968	1	6	0.833333333333333
SRR7146595	Duck	Duck	Wild	Pos	14	8	6	0.571428571428571	0.993	2	10	0.8
